InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,DayOfWeek,TimeOfDay,WeekdayOrWeekend,Month,Quarter,ProductName,YearMonth,Hour
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 08:26:00,2.75,17850.0,United Kingdom,22.0,Wednesday,Morning,Weekday,December,4,CREAM CUPID HEARTS COAT HANGER,2010-12,8
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 08:26:00,4.25,17850.0,United Kingdom,25.5,Wednesday,Morning,Weekday,December,4,GLASS STAR FROSTED T-LIGHT HOLDER,2010-12,8
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 08:26:00,3.39,17850.0,United Kingdom,20.34,Wednesday,Morning,Weekday,December,4,KNITTED UNION FLAG HOT WATER BOTTLE,2010-12,8
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 08:26:00,3.39,17850.0,United Kingdom,20.34,Wednesday,Morning,Weekday,December,4,RED WOOLLY HOTTIE WHITE HEART.,2010-12,8
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 08:26:00,7.65,17850.0,United Kingdom,15.3,Wednesday,Morning,Weekday,December,4,SET 7 BABUSHKA NESTING BOXES,2010-12,8
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26:00,2.55,17850.0,United Kingdom,15.30,Wednesday,Morning,Weekday,December,4,WHITE HANGING HEART T-LIGHT HOLDER,2010-12,8
536365,71053,WHITE METAL LANTERN,6,2010-12-01 08:26:00,3.39,17850.0,United Kingdom,20.34,Wednesday,Morning,Weekday,December,4,WHITE METAL LANTERN,2010-12,8
536366,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 08:28:00,1.85,17850.0,United Kingdom,11.10,Wednesday,Morning,Weekday,December,4,HAND WARMER RED POLKA DOT,2010-12,8
536366,22633,HAND WARMER UNION JACK,6,2010-12-01 08:28:00,1.85,17850.0,United Kingdom,11.10,Wednesday,Morning,Weekday,December,4,HAND WARMER UNION JACK,2010-12,8
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 08:34:00,1.69,13047.0,United Kingdom,54.08,Wednesday,Morning,Weekday,December,4,ASSORTED COLOUR BIRD ORNAMENT,2010-12,8
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2010-12-01 08:34:00,4.25,13047.0,United Kingdom,25.5,Wednesday,Morning,Weekday,December,4,BOX OF 6 ASSORTED COLOUR TEASPOONS,2010-12,8
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-12-01 08:34:00,9.95,13047.0,United Kingdom,19.9,Wednesday,Morning,Weekday,December,4,BOX OF VINTAGE ALPHABET BLOCKS,2010-12,8
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2010-12-01 08:34:00,4.95,13047.0,United Kingdom,14.85,Wednesday,Morning,Weekday,December,4,BOX OF VINTAGE JIGSAW BLOCKS,2010-12,8
536367,48187,DOORMAT NEW ENGLAND,4,2010-12-01 08:34:00,7.95,13047.0,United Kingdom,31.8,Wednesday,Morning,Weekday,December,4,DOORMAT NEW ENGLAND,2010-12,8
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2010-12-01 08:34:00,3.75,13047.0,United Kingdom,30.0,Wednesday,Morning,Weekday,December,4,FELTCRAFT PRINCESS CHARLOTTE DOLL,2010-12,8
536367,21754,HOME BUILDING BLOCK WORD,3,2010-12-01 08:34:00,5.95,13047.0,United Kingdom,17.85,Wednesday,Morning,Weekday,December,4,HOME BUILDING BLOCK WORD,2010-12,8
536367,22310,IVORY KNITTED MUG COSY,6,2010-12-01 08:34:00,1.65,13047.0,United Kingdom,9.90,Wednesday,Morning,Weekday,December,4,IVORY KNITTED MUG COSY,2010-12,8
536367,21755,LOVE BUILDING BLOCK WORD,3,2010-12-01 08:34:00,5.95,13047.0,United Kingdom,17.85,Wednesday,Morning,Weekday,December,4,LOVE BUILDING BLOCK WORD,2010-12,8
536367,22745,POPPY'S PLAYHOUSE BEDROOM,6,2010-12-01 08:34:00,2.1,13047.0,United Kingdom,12.60,Wednesday,Morning,Weekday,December,4,POPPY'S PLAYHOUSE BEDROOM,2010-12,8
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-01 08:34:00,2.1,13047.0,United Kingdom,12.60,Wednesday,Morning,Weekday,December,4,POPPY'S PLAYHOUSE KITCHEN,2010-12,8
536367,21777,RECIPE BOX WITH METAL HEART,4,2010-12-01 08:34:00,7.95,13047.0,United Kingdom,31.8,Wednesday,Morning,Weekday,December,4,RECIPE BOX WITH METAL HEART,2010-12,8
536368,22914,BLUE COAT RACK PARIS FASHION,3,2010-12-01 08:34:00,4.95,13047.0,United Kingdom,14.85,Wednesday,Morning,Weekday,December,4,BLUE COAT RACK PARIS FASHION,2010-12,8
536368,22960,JAM MAKING SET WITH JARS,6,2010-12-01 08:34:00,4.25,13047.0,United Kingdom,25.5,Wednesday,Morning,Weekday,December,4,JAM MAKING SET WITH JARS,2010-12,8
536368,22913,RED COAT RACK PARIS FASHION,3,2010-12-01 08:34:00,4.95,13047.0,United Kingdom,14.85,Wednesday,Morning,Weekday,December,4,RED COAT RACK PARIS FASHION,2010-12,8
536368,22912,YELLOW COAT RACK PARIS FASHION,3,2010-12-01 08:34:00,4.95,13047.0,United Kingdom,14.85,Wednesday,Morning,Weekday,December,4,YELLOW COAT RACK PARIS FASHION,2010-12,8
